begin HEADER
  File_ID = "Atmosphere"
  File_Creation = "Wed Jun  6 13:27:45 2012"
  File_Type = "Matrix"
  Num_Rows = 20
  Num_Columns =       8
  Labels = "Pressure" "T" "H2O" "CO2" "O2" "CH4" "CO2_1" "CO2_2"
  Units = "Pa" "K" "VMR" "VMR" "VMR" "VMR" "VMR" "VMR"
end HEADER
 
# P          T             H2O           CO2           O2	    CH4		  CO2_1		  CO2_2
# (Pa)       (K)           (VMR)         (VMR)         (VMR)        (VMR)	  (VMR)		  (VMR)
 000000010.00 2.3089214E+02 6.4257908E-06 3.8081242E-04 2.0950000E-01 1.5928638E-06 3.8081242E-04 3.8081242E-04
 000004000.00 2.2494101E+02 4.6241196E-06 3.8311499E-04 2.0950000E-01 1.6321281E-06 3.8311499E-04 3.8311499E-04
 000010000.00 2.2713777E+02 4.5774901E-06 3.8594250E-04 2.0950000E-01 1.7590494E-06 3.8594250E-04 3.8594250E-04
 000020000.00 2.2988353E+02 7.7604127E-06 3.8539332E-04 2.0950000E-01 1.8294355E-06 3.8539332E-04 3.8539332E-04
 000028000.00 2.2112614E+02 1.1332598E-04 3.8483492E-04 2.0950000E-01 1.8349309E-06 3.8483492E-04 3.8483492E-04
 000035000.00 2.3277331E+02 3.4057732E-04 3.8467057E-04 2.0950000E-01 1.8347160E-06 3.8467057E-04 3.8467057E-04
 000040000.00 2.3916495E+02 5.6863946E-04 3.8448898E-04 2.0950000E-01 1.8337553E-06 3.8448898E-04 3.8448898E-04
 000045000.00 2.4482823E+02 8.1999930E-04 3.8427961E-04 2.0950000E-01 1.8329079E-06 3.8427961E-04 3.8427961E-04
 000050000.00 2.4968345E+02 1.0715229E-03 3.8404597E-04 2.0950000E-01 1.8327269E-06 3.8404597E-04 3.8404597E-04
 000055000.00 2.5347300E+02 1.6328265E-03 3.8381121E-04 2.0950000E-01 1.8326157E-06 3.8381121E-04 3.8381121E-04
 000060000.00 2.5729416E+02 2.4054214E-03 3.8337526E-04 2.0950000E-01 1.8326216E-06 3.8337526E-04 3.8337526E-04
 000065000.00 2.6132743E+02 3.0739819E-03 3.8297423E-04 2.0950000E-01 1.8328207E-06 3.8297423E-04 3.8297423E-04
 000070000.00 2.6510195E+02 3.9427034E-03 3.8264711E-04 2.0950000E-01 1.8330051E-06 3.8264711E-04 3.8264711E-04
 000075000.00 2.6841445E+02 5.4009480E-03 3.8235705E-04 2.0950000E-01 1.8343135E-06 3.8235705E-04 3.8235705E-04
 000080000.00 2.7172468E+02 6.2841132E-03 3.8217458E-04 2.0950000E-01 1.8355692E-06 3.8217458E-04 3.8217458E-04
 000085000.00 2.7498371E+02 7.2691566E-03 3.8202706E-04 2.0950000E-01 1.8390972E-06 3.8202706E-04 3.8202706E-04
 000090000.00 2.7843081E+02 7.6905896E-03 3.8165525E-04 2.0950000E-01 1.8421466E-06 3.8165525E-04 3.8165525E-04
 000095000.00 2.8245883E+02 8.2178560E-03 3.8083482E-04 2.0950000E-01 1.8451469E-06 3.8083482E-04 3.8083482E-04
 000100000.00 2.8444723E+02 8.4860366E-03 3.7943099E-04 2.0950000E-01 1.8548289E-06 3.7943099E-04 3.7943099E-04
 000105000.00 2.8634371E+02 8.7542172E-03 3.7801638E-04 2.0950000E-01 1.8649662E-06 3.7801638E-04 3.7801638E-04
