   lamda     c0    c1      c2
  405.432800     0.00000E+00     0.00000E+00     0.00000E+00
  405.515004     4.00000E-06     3.00000E-09    -5.00000E-12
  405.597242     1.00000E-05     6.00000E-09    -1.00000E-10
  405.679513     1.75000E-05     1.00000E-08    -2.50000E-10
  405.761818     2.75000E-05     1.50000E-08    -4.25000E-10
  405.844156     4.00000E-05     2.00000E-08    -6.00000E-10
  405.926527     5.75000E-05     2.50000E-08    -7.75000E-10
  406.008932     7.00000E-05     3.50000E-08    -9.50000E-10
  406.091371     8.25000E-05     5.50000E-08    -1.12500E-09
  406.173842     9.50000E-05     1.00000E-07    -1.30000E-09
  406.256348     1.10000E-04     1.60000E-07    -1.50000E-09
  406.338887     1.25000E-04     2.25000E-07    -1.70000E-09
  406.421459     1.40000E-04     2.95000E-07    -1.90000E-09
  406.504065     1.55000E-04     3.70000E-07    -2.10000E-09
  406.586705     1.70000E-04     4.50000E-07    -2.30000E-09
  406.669378     1.85000E-04     5.75000E-07    -2.50000E-09
  406.752085     2.00000E-04     7.25000E-07    -2.70000E-09
  406.834825     2.25000E-04     9.10000E-07    -3.00000E-09
  406.917599     2.50000E-04     1.10000E-06    -3.30000E-09
  407.000407     2.75000E-04     1.30000E-06    -3.50000E-09
  407.083249     3.06300E-04     1.53300E-06    -3.87400E-09
  407.166124     3.36500E-04     1.66300E-06    -4.36700E-09
  407.249033     3.66800E-04     1.79000E-06    -4.95400E-09
  407.331976     3.96900E-04     1.91700E-06    -5.47200E-09
  407.414952     4.27200E-04     2.04300E-06    -6.09400E-09
  407.497963     4.57400E-04     2.17900E-06    -6.42200E-09
  407.581007     4.87500E-04     2.30600E-06    -6.92000E-09
  407.664085     5.17700E-04     2.43400E-06    -7.53200E-09
  407.747197     5.47800E-04     2.56100E-06    -8.00100E-09
  407.830343     5.78300E-04     2.69300E-06    -8.53500E-09
  407.913522     6.08300E-04     2.82400E-06    -8.92900E-09
  407.996736     6.37600E-04     2.94400E-06    -9.53800E-09
  408.079984     6.60600E-04     3.03300E-06    -1.00200E-08
  408.163265     6.82200E-04     3.11800E-06    -1.04500E-08
  408.246581     7.03800E-04     3.19100E-06    -1.11500E-08
  408.329931     7.25500E-04     3.27200E-06    -1.15700E-08
  408.413314     7.47100E-04     3.35700E-06    -1.19900E-08
  408.496732     7.68900E-04     3.43900E-06    -1.24800E-08
  408.580184     7.90700E-04     3.52000E-06    -1.30400E-08
  408.663670     8.12100E-04     3.59800E-06    -1.34600E-08
  408.747190     8.33900E-04     3.67900E-06    -1.40300E-08
  408.830744     8.55600E-04     3.76000E-06    -1.45900E-08
  408.914332     8.77000E-04     3.84900E-06    -1.48000E-08
  408.997955     8.98200E-04     3.92600E-06    -1.53600E-08
  409.081612     9.15100E-04     3.98800E-06    -1.58000E-08
  409.165303     9.31000E-04     4.05800E-06    -1.61000E-08
  409.249028     9.47300E-04     4.12700E-06    -1.63900E-08
  409.332788     9.63200E-04     4.19300E-06    -1.66300E-08
  409.416581     9.79400E-04     4.25500E-06    -1.70600E-08
  409.500410     9.95500E-04     4.32800E-06    -1.72200E-08
  409.584272     1.01200E-03     4.39000E-06    -1.76000E-08
  409.668169     1.02800E-03     4.45600E-06    -1.78900E-08
  409.752100     1.04400E-03     4.52500E-06    -1.81900E-08
  409.836066     1.06000E-03     4.59500E-06    -1.83500E-08
  409.920066     1.07600E-03     4.66100E-06    -1.86400E-08
  410.004100     1.09100E-03     4.72600E-06    -1.88700E-08
  410.088169     1.10100E-03     4.78000E-06    -1.88500E-08
  410.172272     1.11000E-03     4.83800E-06    -1.87400E-08
  410.256410     1.12000E-03     4.89600E-06    -1.86400E-08
  410.340583     1.12900E-03     4.95000E-06    -1.86800E-08
  410.424790     1.13800E-03     5.01100E-06    -1.84400E-08
  410.509031     1.14800E-03     5.06500E-06    -1.84800E-08
  410.593307     1.15700E-03     5.12700E-06    -1.81000E-08
  410.677618     1.16600E-03     5.18100E-06    -1.81400E-08
  410.761963     1.17600E-03     5.23100E-06    -1.81900E-08
  410.846343     1.18500E-03     5.29700E-06    -1.79400E-08
  410.930758     1.19400E-03     5.34700E-06    -1.80500E-08
  411.015208     1.20000E-03     5.38900E-06    -1.77500E-08
  411.099692     1.19300E-03     5.38100E-06    -1.74100E-08
  411.184211     1.18600E-03     5.37000E-06    -1.71400E-08
  411.268764     1.17800E-03     5.35500E-06    -1.68800E-08
  411.353353     1.17100E-03     5.34700E-06    -1.65400E-08
  411.437976     1.16300E-03     5.33200E-06    -1.62100E-08
  411.522634     1.15600E-03     5.32400E-06    -1.58600E-08
